[2019-06-12 16:12:15 $25692.0]	INFO	Server is reloading all workers now
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=25693] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=25694] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=25695] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=25696] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=25697] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=25698] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=25699] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=25700] exit timeout, forced kill
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#10[pid=25695] abnormal exit, status=0, signal=9
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#15[pid=25700] abnormal exit, status=0, signal=9
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#14[pid=25699] abnormal exit, status=0, signal=9
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#13[pid=25698] abnormal exit, status=0, signal=9
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#12[pid=25697] abnormal exit, status=0, signal=9
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#11[pid=25696] abnormal exit, status=0, signal=9
[2019-06-12 16:12:20 $25692.0]	WARNING	swManager_check_exit_status: worker#9[pid=25694] abnormal exit, status=0, signal=9
[2019-06-12 16:13:13 $25692.0]	INFO	Server is reloading all workers now
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=25730] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=25737] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=25731] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=25736] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=25735] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=25734] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=25733] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=25732] exit timeout, forced kill
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#9[pid=25737] abnormal exit, status=0, signal=9
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#11[pid=25736] abnormal exit, status=0, signal=9
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#12[pid=25735] abnormal exit, status=0, signal=9
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#13[pid=25734] abnormal exit, status=0, signal=9
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#14[pid=25733] abnormal exit, status=0, signal=9
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#15[pid=25732] abnormal exit, status=0, signal=9
[2019-06-12 16:13:18 $25692.0]	WARNING	swManager_check_exit_status: worker#10[pid=25731] abnormal exit, status=0, signal=9
[2019-06-12 16:13:26 $25692.0]	INFO	Server is reloading all workers now
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=25758] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=25761] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=25767] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=25762] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=25763] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=25764] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=25765] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=25766] exit timeout, forced kill
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#10[pid=25767] abnormal exit, status=0, signal=9
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#15[pid=25766] abnormal exit, status=0, signal=9
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#14[pid=25765] abnormal exit, status=0, signal=9
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#13[pid=25764] abnormal exit, status=0, signal=9
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#12[pid=25763] abnormal exit, status=0, signal=9
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#11[pid=25762] abnormal exit, status=0, signal=9
[2019-06-12 16:13:31 $25692.0]	WARNING	swManager_check_exit_status: worker#9[pid=25761] abnormal exit, status=0, signal=9
[2019-06-12 16:14:30 $25692.0]	INFO	Server is reloading all workers now
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=25777] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=25784] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=25778] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=25783] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=25782] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=25781] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=25780] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=25779] exit timeout, forced kill
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#9[pid=25784] abnormal exit, status=0, signal=9
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#11[pid=25783] abnormal exit, status=0, signal=9
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#12[pid=25782] abnormal exit, status=0, signal=9
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#13[pid=25781] abnormal exit, status=0, signal=9
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#14[pid=25780] abnormal exit, status=0, signal=9
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#15[pid=25779] abnormal exit, status=0, signal=9
[2019-06-12 16:14:35 $25692.0]	WARNING	swManager_check_exit_status: worker#10[pid=25778] abnormal exit, status=0, signal=9
[2019-06-12 16:20:04 $25996.0]	INFO	Server is reloading all workers now
[2019-06-12 16:20:23 $26070.0]	INFO	Server is reloading all workers now
[2019-06-12 16:20:28 $26070.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=26071] exit timeout, forced kill
[2019-06-12 16:20:28 $26070.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=26072] exit timeout, forced kill
[2019-06-12 16:20:28 $26070.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=26073] exit timeout, forced kill
[2019-06-12 16:20:28 $26070.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=26074] exit timeout, forced kill
